Iteration,Time_Stamp,Load_Cell_Reading,Motor_Steps,Experiment_Number,Height
1.0,-1.0,-0.06,0.0,1.0,445.0
2.0,-1.0,0.05,0.0,1.0,445.0
1.0,0.0,-0.04,0.5,1.0,445.0
2.0,0.0,0.03,1.0,1.0,445.0
3.0,0.0,-0.03,1.5,1.0,445.0
4.0,0.0,536.9,2.0,1.0,445.0
5.0,0.0,579.41,2.5,1.0,445.0
6.0,0.0,757.45,3.0,1.0,445.0
7.0,0.0,654.69,3.5,1.0,445.0
8.0,0.0,938.65,4.0,1.0,445.0
9.0,0.0,935.29,4.5,1.0,445.0
10.0,0.0,1040.1,5.0,1.0,445.0
