Iteration,Time_Stamp,Load_Cell_Reading,Motor_Steps,Experiment Number,Height
1,-1,0.01,0,1,445
2,-1,-0.01,0,1,445
1,0,-0.08,0.50,1,445
2,0,0.01,1.00,1,445
3,0,0.00,1.50,1,445
4,0,-0.11,2.00,1,445
5,0,-0.21,2.50,1,445
6,0,2889.10,3.00,1,445
